ТБ;ГОСБ;ИНН;Организация;Сегмент;Сотрудник;Задач;Закрыто;Успешно;Невозможно отработать;В работе;Статус отработки;Противоречие в решениях;Все задачи закрыты одним днём;Ни одного цифрового следа;План получателей;Факт получателей;Факт к плану, %;Потенциал численности;Факт к потенциалу, %
Среднерусский банк;Ярославское ГОСБ № 17;7700000455;МБУ Новация;Средние;Фомина Анна Викторовна;3;1;0;0;2;Отработан частично;False;False;False;234;0;0,0;219;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000466;ПАО Сатурн;Малые;Жукова Ирина Николаевна;1;1;0;0;0;Отработан полностью;False;False;False;19;0;0,0;40;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000480;ИП Вектор;Крупные;Белова Елена Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;178;0;0,0;612;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000486;ИП Заря;Микро;Шилов Дмитрий Иванович;2;0;0;0;2;Не начат;False;False;False;6;0;0,0;9;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000534;НКО Уют;Малые;Фомина Анна Викторовна;2;2;1;0;0;Отработан полностью;False;False;False;26;13;92,9;36;36,1
Среднерусский банк;Ярославское ГОСБ № 17;7700000548;ПАО Лидер;Крупнейшие;Фомина Анна Викторовна;1;1;0;0;0;Отработан полностью;False;False;False;758;0;0,0;1529;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000563;ООО Сатурн;Микро;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;2;0;0,0;3;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000567;МБУ Новация;Средние;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;55;0;0,0;133;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000579;НКО Ресурс;Средние;Фомина Анна Викторовна;4;3;2;0;1;Отработан частично;False;False;False;160;81;94,2;88;92,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000585;НКО Центр;Средние;Юдина Елена Дмитриевна;5;3;0;1;2;Отработан частично;False;False;False;346;0;0,0;126;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000596;ООО Сатурн;Рег. госсектор;Юдина Елена Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;103;0;0,0;217;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000603;ГБУЗ Прогресс;Средние;Юдина Елена Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;62;0;0,0;133;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000618;АО Магистраль;Средние;Бирюков Виктор Николаевич;2;1;0;0;1;Отработан частично;False;False;False;20;0;0,0;35;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000635;ООО Сатурн;Средние;Жукова Ирина Николаевна;1;1;0;0;0;Отработан полностью;False;False;False;42;0;0,0;103;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000642;ПАО Магистраль;Малые;Щукин Николай Дмитриевич;1;1;0;0;0;Отработан полностью;False;False;True;3;0;0,0;9;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000653;ГБУЗ Ярд;Малые;Юдина Елена Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;14;0;0,0;27;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000670;ИП Ресурс;Средние;Жукова Ирина Николаевна;2;2;2;0;0;Отработан полностью;False;False;False;41;49;119,5;58;84,5
Среднерусский банк;Ярославское ГОСБ № 17;7700000675;ПАО Гранит;Малые;Фомина Анна Викторовна;3;1;1;0;2;Отработан частично;False;False;False;39;15;93,8;25;60,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000682;ПАО Фаворит;Малые;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;1;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000693;ПАО Прогресс;Малые;Шилов Дмитрий Иванович;2;0;0;0;2;Не начат;False;False;False;50;0;0,0;33;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000702;МБУ Юпитер;Средние;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;39;0;0,0;217;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000712;ГБУЗ Ресурс;Крупные;Белова Елена Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;1;0;0,0;1;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000724;ИП Автодор;Средние;Юдина Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;26;0;0,0;92;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000740;АО Уют;Средние;Фомина Анна Викторовна;1;1;0;0;0;Отработан полностью;False;False;False;60;0;0,0;91;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000746;АО Ресурс;Микро;Белова Елена Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;4;0;0,0;11;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000750;ПАО Автодор;Крупные;Бирюков Виктор Николаевич;2;2;2;0;0;Отработан полностью;False;False;False;502;233;46,4;559;41,7
Среднерусский банк;Ярославское ГОСБ № 17;7700000758;ГБУЗ Автодор;Средние;Шилов Дмитрий Иванович;1;1;1;0;0;Отработан полностью;False;False;True;8;4;50,0;19;21,1
Среднерусский банк;Ярославское ГОСБ № 17;7700000765;ИП Новация;Крупные;Белова Елена Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;512;0;0,0;1041;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000780;ООО Магистраль;Средние;Щукин Николай Дмитриевич;1;1;0;0;0;Отработан полностью;False;False;False;49;0;0,0;99;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000808;ИП Магистраль;Микро;Щукин Николай Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;True;1;1;100,0;3;33,3
Среднерусский банк;Ярославское ГОСБ № 17;7700000813;ИП Гранит;Малые;Юдина Елена Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;6;7;116,7;20;35,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000819;ООО Сатурн;Микро;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;5;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000827;НКО Сатурн;Микро;Жукова Ирина Николаевна;1;1;1;0;0;Отработан полностью;False;False;False;5;2;40,0;10;20,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000842;НКО Заря;Малые;Щукин Николай Дмитриевич;2;2;1;0;0;Отработан полностью;False;False;False;25;13;118,2;27;48,1
Среднерусский банк;Ярославское ГОСБ № 17;7700000847;ГБУЗ Прогресс;Рег. госсектор;Юдина Елена Дмитриевна;2;2;1;0;0;Отработан полностью;False;False;False;282;59;71,1;352;16,8
Среднерусский банк;Ярославское ГОСБ № 17;7700000858;АО Автодор;Рег. госсектор;Шилов Дмитрий Иванович;1;1;0;0;0;Отработан полностью;False;False;True;34;0;0,0;119;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000906;ПАО Гранит;Средние;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;42;0;0,0;122;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000914;НКО Химпром;Микро;Фомина Анна Викторовна;2;1;0;0;1;Отработан частично;False;False;False;2;0;0,0;1;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000918;АО Вектор;Микро;Юдина Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;4;0;0,0;6;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000950;ПАО Вектор;Микро;Жукова Ирина Николаевна;1;1;0;0;0;Отработан полностью;False;False;False;3;0;0,0;10;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000957;ГБУЗ Юпитер;Средние;Жукова Ирина Николаевна;1;0;0;0;1;Не начат;False;False;False;53;0;0,0;114;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000977;АО Ресурс;Рег. госсектор;Щукин Николай Дмитриевич;1;1;0;0;0;Отработан полностью;False;False;False;72;0;0,0;210;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700000984;АО Юпитер;Крупнейшие;Юдина Елена Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;1466;0;0,0;3366;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001006;МБУ Гранит;Малые;Шилов Дмитрий Иванович;1;1;0;0;0;Отработан полностью;False;False;False;6;0;0,0;12;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001012;НКО Сатурн;Крупные;Шилов Дмитрий Иванович;2;2;1;0;0;Отработан полностью;False;False;False;653;366;100,0;993;36,9
Среднерусский банк;Ярославское ГОСБ № 17;7700001019;АО Заря;Средние;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;34;0;0,0;139;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001036;ПАО Триумф;Средние;Белова Елена Сергеевна;1;0;0;0;1;Не начат;False;False;False;54;0;0,0;140;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001048;ГБУЗ Ярд;Малые;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;False;7;0;0,0;11;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001059;ООО Орион;Малые;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;20;0;0,0;40;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001066;НКО Орион;Рег. госсектор;Юдина Елена Дмитриевна;3;1;0;1;2;Отработан частично;False;False;False;357;0;0,0;207;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001071;ГБУЗ Магистраль;Малые;Юдина Елена Дмитриевна;2;1;1;0;1;Отработан частично;False;False;False;23;4;30,8;21;19,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001089;ГБУЗ Дельта;Рег. госсектор;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;136;0;0,0;276;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001106;ИП Прогресс;Крупные;Щукин Николай Дмитриевич;1;1;0;1;0;Отработан полностью;False;False;False;187;0;0,0;545;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001124;ПАО Прогресс;Микро;Фомина Анна Викторовна;3;1;0;0;2;Отработан частично;False;False;False;22;0;0,0;13;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001138;ИП Центр;Микро;Шилов Дмитрий Иванович;1;1;0;0;0;Отработан полностью;False;False;False;3;0;0,0;7;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001153;ООО Сатурн;Микро;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;True;2;0;0,0;6;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001166;ИП Фаворит;Малые;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;True;1;0;0,0;1;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001172;ГБУЗ Уют;Средние;Щукин Николай Дмитриевич;2;1;1;0;1;Отработан частично;False;False;True;155;23;42,6;133;17,3
Среднерусский банк;Ярославское ГОСБ № 17;7700001181;МБУ Каскад;Малые;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;8;0;0,0;38;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001190;МБУ Импульс;Малые;Жукова Ирина Николаевна;2;2;2;0;0;Отработан полностью;False;False;False;42;9;21,4;48;18,8
Среднерусский банк;Ярославское ГОСБ № 17;7700001213;ГБУЗ Заря;SBI;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;23;0;0,0;75;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001229;МБУ Лидер;Малые;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;False;6;0;0,0;22;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001255;ИП Гранит;Микро;Юдина Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;7;0;0,0;14;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001264;ПАО Центр;Крупнейшие;Юдина Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;729;0;0,0;1422;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001268;ИП Автодор;Рег. госсектор;Жукова Ирина Николаевна;1;1;1;0;0;Отработан полностью;False;False;False;219;149;68,0;341;43,7
Среднерусский банк;Ярославское ГОСБ № 17;7700001296;НКО Магистраль;Средние;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;36;0;0,0;98;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001312;ИП Вектор;Крупные;Фомина Анна Викторовна;1;0;0;0;1;Не начат;False;False;False;325;0;0,0;983;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001321;МБУ Новация;Микро;Шилов Дмитрий Иванович;1;1;1;0;0;Отработан полностью;False;False;False;6;3;50,0;11;27,3
Среднерусский банк;Ярославское ГОСБ № 17;7700001324;ПАО Юпитер;Микро;Щукин Николай Дмитриевич;3;3;1;2;0;Отработан полностью;True;True;True;10;1;25,0;9;11,1
Среднерусский банк;Ярославское ГОСБ № 17;7700001333;НКО Гранит;Крупнейшие;Щукин Николай Дмитриевич;3;3;0;0;0;Отработан полностью;False;True;False;2727;0;0,0;2124;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001359;АО Прогресс;Микро;Бирюков Виктор Николаевич;1;0;0;0;1;Не начат;False;False;False;4;0;0,0;9;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001366;ГБУЗ Центр;Крупные;Бирюков Виктор Николаевич;1;0;0;0;1;Не начат;False;False;False;86;0;0,0;189;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001379;ГБУЗ Ярд;Микро;Белова Елена Сергеевна;1;1;1;0;0;Отработан полностью;False;False;False;5;3;60,0;10;30,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001389;ПАО Химпром;Средние;Шилов Егор Иванович;1;1;0;0;0;Отработан полностью;False;False;True;79;0;0,0;110;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001407;ООО Автодор;Малые;Шилов Дмитрий Иванович;1;0;0;0;1;Не начат;False;False;False;8;0;0,0;22;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001418;АО Ярд;Средние;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;29;0;0,0;135;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001430;МБУ Вектор;Малые;Шилов Егор Иванович;1;0;0;0;1;Не начат;False;False;False;25;0;0,0;48;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001437;ИП Вектор;Средние;Щукин Николай Дмитриевич;1;1;0;0;0;Отработан полностью;False;False;True;63;0;0,0;137;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001442;ООО Ресурс;Крупные;Жукова Ирина Николаевна;2;1;0;0;1;Отработан частично;False;False;False;358;0;0,0;332;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001451;НКО Уют;Малые;Шилов Дмитрий Иванович;3;2;0;0;1;Отработан частично;False;False;False;55;0;0,0;44;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001481;ООО Новация;Средние;Фомина Анна Викторовна;1;1;1;0;0;Отработан полностью;False;False;False;121;87;71,9;162;53,7
Среднерусский банк;Ярославское ГОСБ № 17;7700001489;ООО Автодор;Малые;Шилов Дмитрий Иванович;1;1;1;0;0;Отработан полностью;False;False;False;12;10;83,3;20;50,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001509;ГБУЗ Прогресс;Крупные;Белова Елена Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;688;0;0,0;906;0,0
Среднерусский банк;Ярославское ГОСБ № 17;7700001519;НКО Новация;Микро;Шилов Дмитрий Иванович;3;1;1;0;2;Отработан частично;False;False;False;19;4;50,0;12;33,3
Среднерусский банк;Восточное ГО;7700001530;МБУ Центр;Микро;Зайцева Ольга Олеговна;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;3;0,0
Среднерусский банк;Восточное ГО;7700001558;ООО Уют;Средние;Панов Иван Олегович;1;0;0;0;1;Не начат;False;False;False;68;0;0,0;166;0,0
Среднерусский банк;Восточное ГО;7700001565;МБУ Эталон;Микро;Панов Иван Олегович;1;1;0;0;0;Отработан полностью;False;False;True;2;0;0,0;5;0,0
Среднерусский банк;Восточное ГО;7700001570;ООО Сатурн;Микро;Носов Геннадий Дмитриевич;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;6;0,0
Среднерусский банк;Восточное ГО;7700001585;МБУ Заря;Крупнейшие;Уваров Кирилл Сергеевич;1;1;0;0;0;Отработан полностью;False;False;False;120;0;0,0;244;0,0
Среднерусский банк;Восточное ГО;7700001598;ГБУЗ Орион;Микро;Панов Иван Олегович;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;3;0,0
Среднерусский банк;Восточное ГО;7700001604;ООО Фаворит;Микро;Панов Иван Олегович;1;1;0;0;0;Отработан полностью;False;False;True;2;0;0,0;9;0,0
Среднерусский банк;Восточное ГО;7700001622;АО Триумф;Малые;Панов Иван Олегович;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;4;0,0
Среднерусский банк;Восточное ГО;7700001670;ГБУЗ Автодор;Микро;Уваров Кирилл Сергеевич;1;0;0;0;1;Не начат;False;False;False;2;0;0,0;5;0,0
Среднерусский банк;Восточное ГО;7700001681;ООО Фаворит;Малые;Панов Иван Олегович;2;2;2;0;0;Отработан полностью;False;False;False;2;2;100,0;1;200,0
Среднерусский банк;Восточное ГО;7700001688;МБУ Вектор;Малые;Уваров Кирилл Сергеевич;1;1;0;0;0;Отработан полностью;False;False;False;26;0;0,0;44;0,0
Среднерусский банк;Восточное ГО;7700001695;ГБУЗ Автодор;Малые;Зайцева Ольга Олеговна;1;1;0;1;0;Отработан полностью;False;False;False;9;0;0,0;22;0,0
Среднерусский банк;Восточное ГО;7700001708;АО Каскад;Микро;Панов Иван Олегович;1;0;0;0;1;Не начат;False;False;False;5;0;0,0;6;0,0
Среднерусский банк;Восточное ГО;7700001715;ГБУЗ Центр;Средние;Уваров Кирилл Сергеевич;1;0;0;0;1;Не начат;False;False;False;61;0;0,0;91;0,0
Среднерусский банк;Восточное ГО;7700001802;МБУ Фаворит;Микро;Зайцева Ольга Олеговна;1;1;0;0;0;Отработан полностью;False;False;False;2;0;0,0;4;0,0
Среднерусский банк;Восточное ГО;7700001809;ГБУЗ Бриз;Средние;Носов Геннадий Дмитриевич;1;0;0;0;1;Не начат;False;False;False;21;0;0,0;117;0,0
Среднерусский банк;Восточное ГО;7700001816;НКО Бриз;Малые;Носов Геннадий Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;False;18;10;55,6;27;37,0
Среднерусский банк;Восточное ГО;7700001839;АО Уют;Малые;Панов Иван Олегович;1;1;0;0;0;Отработан полностью;False;False;True;18;0;0,0;44;0,0
Среднерусский банк;Восточное ГО;7700001864;ООО Сатурн;Микро;Уваров Кирилл Сергеевич;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;8;0,0
Среднерусский банк;Восточное ГО;7700001876;ГБУЗ Бриз;Микро;Панов Иван Олегович;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;6;0,0
Среднерусский банк;Восточное ГО;7700001883;ООО Гранит;Средние;Зайцева Ольга Олеговна;1;1;0;1;0;Отработан полностью;False;False;False;20;0;0,0;73;0,0
Среднерусский банк;Восточное ГО;7700001930;МБУ Центр;Малые;Панов Иван Олегович;2;0;0;0;2;Не начат;False;False;False;34;0;0,0;29;0,0
Среднерусский банк;Восточное ГО;7700001953;ГБУЗ Вектор;Средние;Носов Геннадий Дмитриевич;1;0;0;0;1;Не начат;False;False;False;25;0;0,0;77;0,0
Среднерусский банк;Восточное ГО;7700001963;МБУ Лидер;Крупные;Зайцева Ольга Олеговна;1;1;0;0;0;Отработан полностью;False;False;False;233;0;0,0;318;0,0
Среднерусский банк;Восточное ГО;7700001977;АО Химпром;Крупнейшие;Уварова Марина Ивановна;1;1;0;0;0;Отработан полностью;False;False;True;572;0;0,0;1668;0,0
Среднерусский банк;Восточное ГО;7700001989;ООО Сатурн;Крупные;Уваров Кирилл Сергеевич;3;1;0;0;2;Отработан частично;False;False;False;1400;0;0,0;1004;0,0
Среднерусский банк;Восточное ГО;7700002014;АО Прогресс;Микро;Панов Иван Олегович;1;1;0;0;0;Отработан полностью;False;False;False;2;0;0,0;4;0,0
Среднерусский банк;Восточное ГО;7700002033;ПАО Вектор;Средние;Панов Иван Олегович;2;0;0;0;2;Не начат;False;False;False;119;0;0,0;121;0,0
Среднерусский банк;Восточное ГО;7700002039;ПАО Эталон;Крупнейшие;Уваров Кирилл Сергеевич;1;0;0;0;1;Не начат;False;False;False;734;0;0,0;2075;0,0
Среднерусский банк;Восточное ГО;7700002044;ООО Сатурн;Средние;Уварова Марина Ивановна;3;2;1;0;1;Отработан частично;False;False;False;238;47;42,3;150;31,3
